person_id,Form A _1,1_Q295,2_Q295,3_Q295,4_Q295,5_Q295,6_Q295,7_Q295,8_Q295,9_Q295,10_Q295,11_Q295,12_Q295,13_Q295,14_Q295,15_Q295,16_Q295,17_Q295,18_Q295,19_Q295,20_Q295,21_Q295,22_Q295,23_Q295,24_Q295,25_Q295,26_Q295,27_Q295,28_Q295,29_Q295,30_Q295,31_Q295,32_Q295,33_Q295,34_Q295,35_Q295,36_Q295,37_Q295,38_Q295,39_Q295,40_Q295,base_rate,outcome_bias,sunk_cost,Allais,disease,linda,african,redwood,absolute,Myside,less_is_more,Thaler,matching
eels5,,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,failure,yes,1,gain,no_conjunction,low,high,calculator,Germany,B,WTA_certainty,1
bhiml,,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",70,failure,yes,2,loss,no_conjunction,low,low,jacket,Germany,B,WTP_non_certainty,1
u41kq,,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,failure,no,1,gain,conjunction,low,high,jacket,Ford,A,WTP_certainty,2
l7xza,,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",70,failure,no,2,loss,no_conjunction,high,low,jacket,Ford,A,WTP_certainty,1
dw6oq,45,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",30,failure,yes,1,gain,conjunction,low,low,jacket,Ford,B,WTP_non_certainty,2
4p3l9,,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,failure,no,1,loss,conjunction,high,low,jacket,Ford,A,WTP_certainty,2
f5cp3,80,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product",30,failure,yes,2,gain,conjunction,high,low,calculator,Germany,C,WTP_non_certainty,1
mi5r8,50,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,failure,yes,1,loss,no_conjunction,high,low,calculator,Germany,C,WTP_certainty,1
lspv3,,"Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,success,yes,1,loss,no_conjunction,high,high,jacket,Ford,C,WTP_certainty,2
v2zfr,,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",70,success,yes,1,gain,conjunction,high,high,calculator,Germany,C,WTP_certainty,1
njkpj,30,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,failure,yes,1,loss,conjunction,high,low,calculator,Germany,A,WTP_certainty,2
76ux4,,"Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product",70,success,yes,2,loss,no_conjunction,low,high,calculator,Germany,A,WTP_certainty,2
8fkgi,60,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product",30,success,yes,1,gain,no_conjunction,low,high,calculator,Germany,A,WTA_certainty,2
jqodr,,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,success,no,2,gain,no_conjunction,high,high,calculator,Germany,A,WTP_certainty,1
qw4hl,30,"Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,failure,no,2,gain,conjunction,low,high,jacket,Germany,C,WTA_certainty,2
sw55g,,"Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product",70,success,no,2,gain,no_conjunction,low,low,jacket,Ford,B,WTA_certainty,2
d3vke,,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",70,failure,no,1,loss,no_conjunction,low,high,jacket,Ford,B,WTP_certainty,2
hfvpz,30,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,success,no,1,loss,conjunction,high,high,calculator,Ford,A,WTP_non_certainty,2
gozwq,,"No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",70,success,no,2,gain,no_conjunction,high,low,calculator,Ford,A,WTP_certainty,2
17cwz,50,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,failure,no,1,gain,conjunction,low,low,jacket,Ford,C,WTP_certainty,1
3uy58,80,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product",30,success,yes,1,gain,no_conjunction,low,high,calculator,Germany,B,WTA_certainty,1
iyz57,90,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",30,failure,yes,1,gain,conjunction,high,high,calculator,Germany,B,WTP_non_certainty,2
bnxw1,95,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",30,failure,no,2,loss,no_conjunction,high,high,jacket,Germany,C,WTP_certainty,2
o9fsx,,"No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product",70,failure,yes,1,loss,no_conjunction,high,low,calculator,Ford,B,WTA_certainty,2
5puzl,30,"No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product",30,failure,no,1,gain,conjunction,low,low,calculator,Germany,A,WTA_certainty,1
b8zaq,80,"No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product",30,success,no,2,loss,conjunction,high,high,jacket,Germany,A,WTP_non_certainty,1
9vwzo,65,"Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","No, I would not purchase the product","Yes, I would purchase the product","No, I would not purchase the product","Yes, I would purchase the product",30,success,yes,2,gain,no_conjunction,low,high,jacket,Germany,B,WTA_certainty,2
